molecular system: 
240 atoms
0 bonds
0 angles
0 dihedrals
0 impropers
2 atom types
0 bond types
0 angle types
0 dihedral types
0 improper types

0.0 18.426683253626166 xlo xhi
0.0 18.426683253626166 ylo yhi
0.0 18.426683253626166 zlo zhi

Masses

     1  39.098300 # K    K    
     2  15.999400 # O    O    

Atoms

    88     88      1   0.472500   7.897150   5.264767   5.264767 # K
    89     89      1   0.472500  13.161917   5.264767  13.161917 # K
    90     90      1   0.472500  13.161917   7.897150   0.000000 # K
    91     91      1   0.472500   7.897150  10.529533   2.632383 # K
    92     92      1   0.472500   7.897150  15.794300  15.794300 # K
    93     93      1   0.472500   7.897150  10.529533   7.897150 # K
    94     94      1   0.472500   2.632383   7.897150   5.264767 # K
    95     95      1   0.472500  10.529533   0.000000  10.529533 # K
    96     96      1   0.472500   0.000000   7.897150  13.161917 # K
    97     97      1   0.472500  10.529533  15.794300   5.264767 # K
    98     98      1   0.472500  13.161917   7.897150  10.529533 # K
    99     99      1   0.472500  15.794300  15.794300   0.000000 # K
   100    100      1   0.472500  15.794300   0.000000  15.794300 # K
   101    101      1   0.472500   5.264767  10.529533   2.632383 # K
   102    102      1   0.472500   7.897150   2.632383  13.161917 # K
   103    103      1   0.472500   2.632383  10.529533  15.794300 # K
   104    104      1   0.472500   5.264767  15.794300   5.264767 # K
   105    105      1   0.472500   0.000000  13.161917  15.794300 # K
   106    106      1   0.472500  13.161917   7.897150   5.264767 # K
   107    107      1   0.472500   5.264767   5.264767  15.794300 # K
   108    108      1   0.472500  13.161917  13.161917   5.264767 # K
   109    109      1   0.472500  13.161917   2.632383  10.529533 # K
   110    110      1   0.472500   2.632383  10.529533  10.529533 # K
   111    111      1   0.472500  15.794300   2.632383  13.161917 # K
   112    112      1   0.472500  15.794300   2.632383   7.897150 # K
   113    113      1   0.472500   0.000000   0.000000  15.794300 # K
   114    114      1   0.472500  10.529533   0.000000   0.000000 # K
   115    115      1   0.472500   2.632383  15.794300   2.632383 # K
   116    116      1   0.472500   2.632383   7.897150  15.794300 # K
   117    117      1   0.472500  13.161917   0.000000   2.632383 # K
   118    118      1   0.472500  13.161917   2.632383   0.000000 # K
